GF_ID,Year_approx,Year_exact,Month,Day,Lake_name,Glacier_name,GL_ID,LakeDB_ID,G_ID,Lat_lake,Lon_lake,Elev_lake,Lat_impact,Lon_impact,Elev_impact,Impact_type,Lake_type,Transboundary,Repeat,Region_RGI,Region_HiMAP,Country,Province,River_Basin,Driver_lake,Driver_GLOF,Mechanism,Area,Volume,Discharge_water,Discharge_solid,Impact,Lives_total,Lives_male,Lives_female,Lives_disabilities,Injured_total,Injured_male,Injured_female,Injured_disabilities,Displaced_total,Displaced_male,Displaced_female,Displaced_disabilities,Livestock,Residential_destroyed,Commerical_destroyed,Residential_damaged,Commerical_damaged,Infra,Agricultural,Hydropower,Econ_damage,Sat_evidence,Ref_scientific,Ref_scientific_full,Ref_other,Remarks,year_best,year_precision,event_date,Lives_total_note,Lives_total_is_minimum,Livestock_note,Livestock_is_minimum,Residential_destroyed_note,Residential_destroyed_is_minimum,Commerical_destroyed_note,Commerical_destroyed_is_minimum,Residential_damaged_note,Commerical_damaged_note,Agricultural_note,Agricultural_is_minimum,Hydropower_note,Lake_name_is_placeholder,Glacier_name_is_placeholder,Driver_GLOF_terms,Driver_GLOF_n,Mechanism_terms,Mechanism_n
230,1970,1970,7.0,,Qunbixiama Co,Unnamed,GL088921E27847N,"2, 3, 4",G088896E27864N,27.847,88.921,4670,,,,,Moraine dammed,Y,N,15_2,12,China,TAR,Kangbuqu,Unknown,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Veh et al., 2022)","Veh, G., Lützow, N., Kharlamova, V., Petrakov, D., Hugonnet, R., & Korup, O., 2022. Trends, breaks, and biases in the frequency of reported glacier lake outburst floods. Earth's Future, 10, e2021EF002426. https://doi.org/10.1029/2021EF002426",,,1970.0,exact,,,False,,False,,False,,False,,,,False,,False,True,['Unknown'],1,['Unknown'],1
231,1970,1970,8.0,2.0,Unnamed,Aksay,Not mapped,,G074556E42520N,42.528,74.5405,3637,42.552627,74.483331,2255.0,Deposit,Moraine dammed,N,Y,13_3,4,Kyrgyzstan,Chuy,Ala Archa,Unknown,Unknown,Unknown,,,10.0,800.0,,,,,,,,,,,,,,,,,,,,,,,,"(Zaginaev et al., 2016)","Zaginaev, V., Ballesteros-Cánovas, J.A., Erokhin, S., Matov, E., Petrakov, D., Stoffel, M., 2016. Reconstruction of glacial lake outburst floods in northern Tien Shan: Implications for hazard assessment. Geomorphology 269, 75–84. https://doi.org/10.1016/j.geomorph.2016.06.028",,,1970.0,exact,1970-08-02,,False,,False,,False,,False,,,,False,,True,False,['Unknown'],1,['Unknown'],1
232,1970,1970,8.0,18.0,Aya Co,Unnamed,GL086494E28348N,"2, 3, 4",G086459E28339N,28.346,86.49,5533,28.58541,86.58843,4330.0,Observation,Moraine dammed,Y,Y,15_2,11,China,TAR,Pumqu,Unknown,Ice avalanche,Unknown,,,,,,,,,,,,,,,,,,,,,,,Damaged highway and concrete bridges of Desha No. 1 in Tibet,,,,,"(Mool, Bajracharya and Joshi, 2001; Wang et al., 2012; Liu et al., 2014; Veh et al., 2019)","Mool, P.K., Bajracharya, S.R., Joshi, S.P., 2001. Inventory of Glaciers, Glacial Lakes and Glacial Lake Outburst Floods. ICIMOD, Kathmandu, Nepal; Wang, X., Liu, S., Ding, Y., Guo, W., Jiang, Z., Lin, J., Han, Y., 2012. An approach for estimating the breach probabilities of moraine-dammed lakes in the Chinese Himalayas using remote-sensing data. Natural Hazards and Earth System Sciences 12, 3109–3122. https://doi.org/10.5194/nhess-12-3109-2012; Liu, J.-J., Cheng, Z.-L., Li, Y., 2014. The 1988 glacial lake outburst flood in Guangxieco Lake, Tibet, China. Natural Hazards and Earth System Sciences 14, 3065–3075. https://doi.org/10.5194/nhess-14-3065-2014; Veh, G., Korup, O., von Specht, S., Roessner, S., Walz, A., 2019. Unchanged frequency of moraine-dammed glacial lake outburst floods in the Himalaya. Nature Climate Change 9, 379–383. https://doi.org/10.1038/s41558-019-0437-5",,"Difference in ouburst date between three authors. Carrivick-1970/8/17; Nie et al., - 1970/7/12 and Veh et al., 1970/8/18. Consider veh et al., 2018 as the outburst date match with Kiu et al., 2014 and Wang et al., 2012",1970.0,exact,1970-08-18,,False,,False,,False,,False,,,,False,,False,True,['Ice avalanche'],1,['Unknown'],1
233,1970,1970,,,Unknown,Salyk,Ephemeral,,G074719E42495N,42.518,74.717,3390,42.561,74.663,2005.0,Deposit,Moraine dammed,N,Y,13_3,4,Kyrgyzstan,Chuy,Ysyk-Ata,Unknown,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Zaginaev et al., 2019)","Zaginaev, V., Petrakov, D., Erokhin, S., Meleshko, A., Stoffel, M., Ballesteros-Cánovas, J.A., 2019. Geomorphic control on regional glacier lake outburst flood and debris flow activity over northern Tien Shan. Global and Planetary Change 176, 50–59. https://doi.org/10.1016/j.gloplacha.2019.03.003",,,1970.0,exact,,,False,,False,,False,,False,,,,False,,True,False,['Unknown'],1,['Unknown'],1
234,1970,1970,9.0,1.0,Merzbacher,Southern Inylshek,GL079841E42200N,2,G080193E42063N,42.196,79.847,3271,,,,,Ice dammed,N,Y,13_3,3,Kyrgyzstan,Issyk-Kul,Inylchek,Unknown,Unknown,Subglacial tunnel,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Glazirin, 2010)","Glazirin, G., 2010. A century of investigations on outbursts of the ice-dammed lake merzbacher (Central Tien Shan). Austrian Journal of Earth Sciences 103, 171–179.",,,1970.0,exact,1970-09-01,,False,,False,,False,,False,,,,False,,False,False,['Unknown'],1,['Subglacial tunnel'],1
235,1971,1971,7.0,10.0,Unnamed,Aksay,Not mapped,,G074556E42520N,42.528,74.5405,3637,42.552627,74.483331,2255.0,Deposit,Moraine dammed,N,Y,13_3,4,Kyrgyzstan,Chuy,Ala Archa,Unknown,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Veh et al., 2022)","Veh, G., Lützow, N., Kharlamova, V., Petrakov, D., Hugonnet, R., & Korup, O., 2022. Trends, breaks, and biases in the frequency of reported glacier lake outburst floods. Earth's Future, 10, e2021EF002426. https://doi.org/10.1029/2021EF002426",,,1971.0,exact,1971-07-10,,False,,False,,False,,False,,,,False,,True,False,['Unknown'],1,['Unknown'],1
236,1971,1971,7.0,12.0,Lake number 18,Glacier No. 151,GL077137E42998N,2,G077152E42985N,42.998,77.137,3500,43.26,77.213,1170.0,Deposit,Moraine dammed,N,N,13_3,4,Kazakhstan,Almaty,Ily-Balkhash-Alakol,Unknown,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Narama, Severskiy and Yegorov, 2009)","Narama, C., Severskiy, I., and Yegorov, A. 2009. Current state of glacier changes, glacial lakes, and outburst floods in the Ile Ala-Tau and Kungoy Ala-Too ranges, northern Tien Shan Mountains, Ann. Hokkaido Geogr., 84, 22–32, https://doi.org/10.7886/hgs.84.31",,,1971.0,exact,1971-07-12,,False,,False,,False,,False,,,,False,,False,False,['Unknown'],1,['Unknown'],1
237,1971,1971,8.0,2.0,Kyagar,Kyagar,GL077181E35675N,"2, 3, 4",G077158E35562N,35.677371,77.190788,4880,37.982034,76.877846,1450.0,Observation,Ice dammed,N,Y,14_2,9,China,Xinjiang,Yarkant,Surging glacier,Unknown,Unknown,,,4750.0,,,,,,,,,,,,,,,,,,,,,,,,,"(Zhang et al., 1990; Zhang, 1992; Hewitt and Liu, 2010; Carrivick and Tweed, 2016; Bazai et al., 2021)","Zhang, X., Li, N., You, X., Wang, W., 1990. The Researches of Glacier Lake Outburst Floods of the Yarkant River in Xinjiang. Science in China Series B-Chemistry, Life Sciences & Earth Sciences 33 (8), 1014–1024; Zhang, X., 1992. Investigation of glacier bursts of the Yarkant River in Xinjiang, China. Annals of Glaciology 16, 135–139. https://doi.org/10.3189/1992AoG16-1-135-139; Hewitt, K., Liu, J., 2010. Ice-Dammed Lakes and Outburst Floods, Karakoram Himalaya: Historical Perspectives on Emerging Threats. Physical Geography 31, 528–551. https://doi.org/10.2747/0272-3646.31.6.528; Carrivick, J.L., Tweed, F.S., 2016. A global assessment of the societal impacts of glacier outburst floods. Global and Planetary Change 144, 1–16. https://doi.org/10.1016/j.gloplacha.2016.07.001; Bazai, N.A., Cui, P., Carling, P.A., Wang, H., Hassan, J., Liu, D., Zhang, G., Jin, W., 2021. Increasing glacial lake outburst flood hazard in response to surge glaciers in the Karakoram. Earth-Science Reviews 212, 103432. https://doi.org/10.1016/j.earscirev.2020.103432",,,1971.0,exact,1971-08-02,,False,,False,,False,,False,,,,False,,False,False,['Unknown'],1,['Unknown'],1
238,1971,1971,,,Unnamed,Unnamed,GL077441E34317N,"2, 3, 4",G077449E34305N,34.317,77.441,5145,34.195181,77.335314,3145.0,Observation,Moraine dammed,Y,N,14_2,10,India,Jammu and Kashmir,Upper Indus,Unknown,Unknown,Unknown,,,,,,13.0,,,,,,,,,,,,,,,,,,,,,,"(Ikeda, Narama and Gyalson, 2016)","Ikeda, N., Narama, C., Gyalson, S., 2016. Knowledge Sharing for Disaster Risk Reduction: Insights from a Glacier Lake Workshop in the Ladakh Region, Indian Himalayas. mred 36, 31–40. https://doi.org/10.1659/MRD-JOURNAL-D-15-00035.1",,Visible traces in the valley below the ocurrence all the way to the village (Nimmoo) along the Indus,1971.0,exact,,,False,,False,,False,,False,,,,False,,True,True,['Unknown'],1,['Unknown'],1
239,1971,1971,8.0,17.0,Merzbacher,Southern Inylshek,GL079841E42200N,2,G080193E42063N,42.196,79.847,3271,,,,,Ice dammed,N,Y,13_3,3,Kyrgyzstan,Issyk-Kul,Inylchek,Unknown,Unknown,Subglacial tunnel,,133000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,"(Kingslake and Ng, 2013)","Kingslake, J., Ng, F., 2013. Quantifying the predictability of the timing of jökulhlaups from Merzbacher Lake, Kyrgyzstan. Journal of Glaciology 59, 805–818. https://doi.org/10.3189/2013JoG12J164",,,1971.0,exact,1971-08-17,,False,,False,,False,,False,,,,False,,False,False,['Unknown'],1,['Subglacial tunnel'],1
