GF_ID,Year_approx,Year_exact,Month,Day,Lake_name,Glacier_name,GL_ID,LakeDB_ID,G_ID,Lat_lake,Lon_lake,Elev_lake,Lat_impact,Lon_impact,Elev_impact,Impact_type,Lake_type,Transboundary,Repeat,Region_RGI,Region_HiMAP,Country,Province,River_Basin,Driver_lake,Driver_GLOF,Mechanism,Area,Volume,Discharge_water,Discharge_solid,Impact,Lives_total,Lives_male,Lives_female,Lives_disabilities,Injured_total,Injured_male,Injured_female,Injured_disabilities,Displaced_total,Displaced_male,Displaced_female,Displaced_disabilities,Livestock,Residential_destroyed,Commerical_destroyed,Residential_damaged,Commerical_damaged,Infra,Agricultural,Hydropower,Econ_damage,Sat_evidence,Ref_scientific,Ref_scientific_full,Ref_other,Remarks,year_best,year_precision,event_date,Lives_total_note,Lives_total_is_minimum,Livestock_note,Livestock_is_minimum,Residential_destroyed_note,Residential_destroyed_is_minimum,Commerical_destroyed_note,Commerical_destroyed_is_minimum,Residential_damaged_note,Commerical_damaged_note,Agricultural_note,Agricultural_is_minimum,Hydropower_note,Lake_name_is_placeholder,Glacier_name_is_placeholder,Driver_GLOF_terms,Driver_GLOF_n,Mechanism_terms,Mechanism_n
1,1533,1533,,,Unknown,Chong Kumden,Ephemeral,,G077657E35156N,35.172,77.702,4691,,,,,Ice dammed,Y,Y,14_2,9,India,Jammu and Kashmir,Shyok,Surging glacier,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Hedin, 1917; Hewitt, 2014; Bazai et al., 2021)","Hedin, S., 1917. Southern Tibet. Stockholm; 34; Hewitt, K., 2014. Glaciers of the Karakoram Himalaya, Advances in Asian Human-Environmental Research. Springer Netherlands, Dordrecht; Bazai, N.A., Cui, P., Carling, P.A., Wang, H., Hassan, J., Liu, D., Zhang, G., Jin, W., 2021. Increasing glacial lake outburst flood hazard in response to surge glaciers in the Karakoram. Earth-Science Reviews 212, 103432. https://doi.org/10.1016/j.earscirev.2020.103432",,,1533.0,exact,,,False,,False,,False,,False,,,,False,,True,False,['Unknown'],1,['Unknown'],1
2,1560,1560,,,Unknown,Machhapuchhre,No lake,,G084009E28557N,28.52,83.992,3741,,,,,Supraglacial,Y,N,15_1,11,Nepal,Gandaki,Seti,Unknown,Unknown,Unknown,,,,,50-60m thick debris covering Pokhara basin,,,,,,,,,,,,,,,,,,,,,,,"(Ives, Shrestha and Mool, 2010; ICIMOD, 2011)","Ives, J.D., Shrestha, R.B., Mool, P.K., 2010. Formation of Glacial Lakes in the Hindu Kush-Himalayas and GLOF Risk Assessment. ICIMOD, Kathmandu, Nepal; ICIMOD, 2011. Glacial Lakes and Glacial Lake Outburst Floods in Nepal. ICIMOD",,,1560.0,exact,,,False,,False,,False,,False,,,,False,,True,False,['Unknown'],1,['Unknown'],1
3,1661,1661,,,Unknown,Biafo,GL075907E35687N,"2, 4",G075593E36006N,35.687,75.907,3059,,,,,Supraglacial,N,Y,14_2,9,Pakistan,Gilgit - Baltistan,Shigar,Glacier advance,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,Entire village destroyed,,,,,"(Godwin-Austen, 1864)","Godwin-Austen, H.H., 1864. On the Glaciers of the Mustakh Range. The Journal of the Royal Geographical Society of London 34, 19–56. https://doi.org/10.2307/1798464",,,1661.0,exact,,,False,,False,,False,,False,,,,False,,True,False,['Unknown'],1,['Unknown'],1
4,1780,1780,,,Unknown,Chong Kumden,Ephemeral,,G077657E35156N,35.172,77.702,4691,,,,,Ice dammed,Y,Y,14_2,9,India,Jammu and Kashmir,Shyok,Surging glacier,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Strachey, 1853; Bazai et al., 2021)","Strachey, W., 1853. Physical Geography of Western Tibet. William Clowes & Sons Ltd, London & Beccles, London; Bazai, N.A., Cui, P., Carling, P.A., Wang, H., Hassan, J., Liu, D., Zhang, G., Jin, W., 2021. Increasing glacial lake outburst flood hazard in response to surge glaciers in the Karakoram. Earth-Science Reviews 212, 103432. https://doi.org/10.1016/j.earscirev.2020.103432",,Strachey (1853) reported that the oldest flood occurred in ~1780 in the upper Shyok valley due to the bursting of Kumdan glacier lake. His conclusion was based on interview with eighty years old resident of the Shyok valley.,1780.0,exact,,,False,,False,,False,,False,,,,False,,True,False,['Unknown'],1,['Unknown'],1
5,1833,1833,,,Unknown,Yashkuk-Yaz,Ephemeral,,G074282E36698N,36.824,74.369,3370,,,,,Unknown,N,N,14_2,9,Pakistan,Gilgit - Baltistan,Hunza,Unknown,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,Entire village destroyed,,,,,"(Hewitt and Liu, 2010)","Hewitt, K., Liu, J., 2010. Ice-Dammed Lakes and Outburst Floods, Karakoram Himalaya: Historical Perspectives on Emerging Threats. Physical Geography 31, 528–551. https://doi.org/10.2747/0272-3646.31.6.528",,,1833.0,exact,,,False,,False,+,True,,False,,,,False,,True,False,['Unknown'],1,['Unknown'],1
6,1833,1833,,,Unknown,Chong Kumden,Ephemeral,,G077657E35156N,35.172,77.702,4691,,,,,Ice dammed,Y,Y,14_2,9,India,Jammu and Kashmir,Shyok,Surging glacier,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Hewitt and Liu, 2010; Hewitt, 2014; Bazai et al., 2021)","Hewitt, K., Liu, J., 2010. Ice-Dammed Lakes and Outburst Floods, Karakoram Himalaya: Historical Perspectives on Emerging Threats. Physical Geography 31, 528–551. https://doi.org/10.2747/0272-3646.31.6.528; Hewitt, K., 2014. Glaciers of the Karakoram Himalaya, Advances in Asian Human-Environmental Research. Springer Netherlands, Dordrecht; Bazai, N.A., Cui, P., Carling, P.A., Wang, H., Hassan, J., Liu, D., Zhang, G., Jin, W., 2021. Increasing glacial lake outburst flood hazard in response to surge glaciers in the Karakoram. Earth-Science Reviews 212, 103432. https://doi.org/10.1016/j.earscirev.2020.103432",,,1833.0,exact,,,False,,False,+,True,,False,,,,False,,True,False,['Unknown'],1,['Unknown'],1
7,1835,1835,,,Unknown,Chong Kumden,Ephemeral,,G077657E35156N,35.172,77.702,4691,34.930229,76.615853,2628.0,Observation,Ice dammed,Y,Y,14_2,9,India,Jammu and Kashmir,Shyok,Surging glacier,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Strachey, 1853; Bazai et al., 2021)","Strachey, W., 1853. Physical Geography of Western Tibet. William Clowes & Sons Ltd, London & Beccles, London; Bazai, N.A., Cui, P., Carling, P.A., Wang, H., Hassan, J., Liu, D., Zhang, G., Jin, W., 2021. Increasing glacial lake outburst flood hazard in response to surge glaciers in the Karakoram. Earth-Science Reviews 212, 103432. https://doi.org/10.1016/j.earscirev.2020.103432",,"Two Kumdan glaciers generated obstacles in the upper Shyok valley during June of 1835. The height of ice dam made by an upper glacier (possibly Chong Kumdan) was 700 vertical feet, above the valley bottom and a large lake accumulated between Kumdan and Gyapahan. The sudden burst of lake resulted in a large discharge downstream. Maximum devastation occurred in Lagzhung village (mid Nubra) and Chorbat (Balti).",1835.0,exact,,,False,,False,+,True,,False,,,,False,,True,False,['Unknown'],1,['Unknown'],1
8,1839,1839,,,Unknown,Chong Kumden,Ephemeral,,G077657E35156N,35.172,77.702,4691,,,,,Ice dammed,Y,Y,14_2,9,India,Jammu and Kashmir,Shyok,Surging glacier,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Hewitt and Liu, 2010; Hewitt, 2014; Bazai et al., 2021)","Hewitt, K., Liu, J., 2010. Ice-Dammed Lakes and Outburst Floods, Karakoram Himalaya: Historical Perspectives on Emerging Threats. Physical Geography 31, 528–551. https://doi.org/10.2747/0272-3646.31.6.528; Hewitt, K., 2014. Glaciers of the Karakoram Himalaya, Advances in Asian Human-Environmental Research. Springer Netherlands, Dordrecht; Bazai, N.A., Cui, P., Carling, P.A., Wang, H., Hassan, J., Liu, D., Zhang, G., Jin, W., 2021. Increasing glacial lake outburst flood hazard in response to surge glaciers in the Karakoram. Earth-Science Reviews 212, 103432. https://doi.org/10.1016/j.earscirev.2020.103432",,,1839.0,exact,,,False,,False,,False,,False,,,,False,,True,False,['Unknown'],1,['Unknown'],1
9,1842,1842,,,Unknown,Chong Kumden,Ephemeral,,G077657E35156N,35.172,77.702,4691,,,,,Ice dammed,Y,Y,14_2,9,India,Jammu and Kashmir,Shyok,Surging glacier,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Hewitt and Liu, 2010; Hewitt, 2014; Bazai et al., 2021)","Hewitt, K., Liu, J., 2010. Ice-Dammed Lakes and Outburst Floods, Karakoram Himalaya: Historical Perspectives on Emerging Threats. Physical Geography 31, 528–551. https://doi.org/10.2747/0272-3646.31.6.528; Hewitt, K., 2014. Glaciers of the Karakoram Himalaya, Advances in Asian Human-Environmental Research. Springer Netherlands, Dordrecht; Bazai, N.A., Cui, P., Carling, P.A., Wang, H., Hassan, J., Liu, D., Zhang, G., Jin, W., 2021. Increasing glacial lake outburst flood hazard in response to surge glaciers in the Karakoram. Earth-Science Reviews 212, 103432. https://doi.org/10.1016/j.earscirev.2020.103432",,,1842.0,exact,,,False,,False,,False,,False,,,,False,,True,False,['Unknown'],1,['Unknown'],1
10,1844,1844,,,Karambar,Karambar,GL074079E36622N,"2, 4",G074224E36616N,36.6214,74.07906,2935,,,,,Ice dammed,N,Y,14_2,9,Pakistan,Gilgit - Baltistan,Gilgit,Unknown,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Hewitt, 1982; Iturrizaga, 2005a)","Hewitt, K., 1982. Natural dams and outburst floods of the Karakoram Himalaya. IAHS-AISH Publication Hydrological Aspects of Alpine and High Mountain Area (as (Proceedings of the Exeter Symposium, Juiy 1982)); Iturrizaga, L., 2005a. Historical glacier-dammed lakes and outburst floods in the Karambar valley (Hindukush-Karakoram). GeoJournal 63, 1–47. https://doi.org/10.1007/s10708-005-2395-x",,,1844.0,exact,,,False,,False,,False,,False,,,,False,,False,False,['Unknown'],1,['Unknown'],1
11,1846,1846,,,Unknown,Kuturgansuu,Ephemeral,,G074608E42515N,42.522,74.609,3470,42.535,74.658,2170.0,Deposit,Moraine dammed,N,Y,13_3,4,Kyrgyzstan,Chuy,Alamedin,Unknown,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Zaginaev et al., 2019)","Zaginaev, V., Petrakov, D., Erokhin, S., Meleshko, A., Stoffel, M., Ballesteros-Cánovas, J.A., 2019. Geomorphic control on regional glacier lake outburst flood and debris flow activity over northern Tien Shan. Global and Planetary Change 176, 50–59. https://doi.org/10.1016/j.gloplacha.2019.03.003",,,1846.0,exact,,,False,,False,,False,,False,,,,False,,True,False,['Unknown'],1,['Unknown'],1
12,1850,1850,,,Unknown,Tarshing,Ephemeral,,G074689E35277N,35.232,74.722,2940,,,,,Unknown,N,Y,14_3,10,Pakistan,Gilgit - Baltistan,Indus,Unknown,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Hewitt, 1968)","Hewitt, K., 1968. Studies in the geomorphology of the mountain regions of the Upper Indus basin. University of London",,,1850.0,exact,,,False,,False,,False,,False,,,,False,,True,False,['Unknown'],1,['Unknown'],1
13,1855,1855,,,Unknown,Chong Kumden,Ephemeral,,G077657E35156N,35.172,77.702,4691,,,,,Ice dammed,Y,Y,14_2,9,India,Jammu and Kashmir,Shyok,Surging glacier,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Mason, 1929b; Hewitt and Liu, 2010; Bazai et al., 2021)","Mason, K., 1929b. The Upper Shyok Glaciers. Alpine Journal 12; Hewitt, K., Liu, J., 2010. Ice-Dammed Lakes and Outburst Floods, Karakoram Himalaya: Historical Perspectives on Emerging Threats. Physical Geography 31, 528–551. https://doi.org/10.2747/0272-3646.31.6.528; Bazai, N.A., Cui, P., Carling, P.A., Wang, H., Hassan, J., Liu, D., Zhang, G., Jin, W., 2021. Increasing glacial lake outburst flood hazard in response to surge glaciers in the Karakoram. Earth-Science Reviews 212, 103432. https://doi.org/10.1016/j.earscirev.2020.103432",,"2 events, potentially also from another lake, only documented all the way downstream",1855.0,exact,,,False,,False,,False,,False,,,,False,,True,False,['Unknown'],1,['Unknown'],1
14,1860,1860,,,Karambar,Karambar,GL074079E36622N,"2, 4",G074224E36616N,36.6214,74.07906,2935,,,,,Ice dammed,N,Y,14_2,9,Pakistan,Gilgit - Baltistan,Gilgit,Unknown,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Hewitt, 1982; Iturrizaga, 2005a)","Hewitt, K., 1982. Natural dams and outburst floods of the Karakoram Himalaya. IAHS-AISH Publication Hydrological Aspects of Alpine and High Mountain Area (as (Proceedings of the Exeter Symposium, Juiy 1982)); Iturrizaga, L., 2005a. Historical glacier-dammed lakes and outburst floods in the Karambar valley (Hindukush-Karakoram). GeoJournal 63, 1–47. https://doi.org/10.1007/s10708-005-2395-x",,,1860.0,exact,,,False,,False,,False,,False,,,,False,,False,False,['Unknown'],1,['Unknown'],1
15,1860,1860,7.0,,Unknown,Unnamed,Ephemeral,,G075374E35664N,35.668,75.378,4030,35.674875,75.445221,2370.0,Observation,Unknown,N,N,14_2,9,Pakistan,Gilgit - Baltistan,Shigar,Unknown,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Godwin-Austen, 1864)","Godwin-Austen, H.H., 1864. On the Glaciers of the Mustakh Range. The Journal of the Royal Geographical Society of London 34, 19–56. https://doi.org/10.2307/1798464",,"Tisar village reported to be affected with fields destroyed. Source could also be one of the 3 adjacent glaciers, that were largely much larger at the time.",1860.0,exact,,,False,,False,,False,,False,,,,False,,True,True,['Unknown'],1,['Unknown'],1
16,1864,1864,,,Unknown,Kichik Kumden,Ephemeral,,G077662E35097N,35.128,77.763,4613,,,,,Ice dammed,Y,Y,14_2,9,India,Jammu and Kashmir,Shyok,Surging glacier,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Mason, 1929b, 1929a; Bazai et al., 2021)","Mason, K., 1929a. Indus floods and Shyok glaciers. Himalayan Journal 1, 10–29; Mason, K., 1929b. The Upper Shyok Glaciers. Alpine Journal 12; Bazai, N.A., Cui, P., Carling, P.A., Wang, H., Hassan, J., Liu, D., Zhang, G., Jin, W., 2021. Increasing glacial lake outburst flood hazard in response to surge glaciers in the Karakoram. Earth-Science Reviews 212, 103432. https://doi.org/10.1016/j.earscirev.2020.103432",,,1864.0,exact,,,False,,False,,False,,False,,,,False,,True,False,['Unknown'],1,['Unknown'],1
17,1865,1865,,,Sokhter Rabot,Unnamed,Ephemeral,,G073953E36756N,36.7946,73.99494,3463,35.922147,74.352607,1430.0,Observation,Ice dammed,N,Y,14_2,9,Pakistan,Gilgit - Baltistan,Gilgit,Unknown,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,Rope bridge at Gilgit Fort destroyed,,,,,"(Hewitt, 1982; Iturrizaga, 2005a)","Hewitt, K., 1982. Natural dams and outburst floods of the Karakoram Himalaya. IAHS-AISH Publication Hydrological Aspects of Alpine and High Mountain Area (as (Proceedings of the Exeter Symposium, Juiy 1982)); Iturrizaga, L., 2005a. Historical glacier-dammed lakes and outburst floods in the Karambar valley (Hindukush-Karakoram). GeoJournal 63, 1–47. https://doi.org/10.1007/s10708-005-2395-x",,,1865.0,exact,,,False,,False,,False,,False,,,,False,,False,True,['Unknown'],1,['Unknown'],1
18,1865,1865,,,Karambar,Karambar,GL074079E36622N,"2, 4",G074224E36616N,36.6214,74.07906,2935,35.926146,74.266804,1470.0,Observation,Ice dammed,N,Y,14_2,9,Pakistan,Gilgit - Baltistan,Gilgit,Unknown,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Todd, 1930; Iturrizaga, 2005a)","Todd, H.J., 1930. Correspondence: Gilgit and Hunza River Floods. Himalayan Journal 2; Iturrizaga, L., 2005a. Historical glacier-dammed lakes and outburst floods in the Karambar valley (Hindukush-Karakoram). GeoJournal 63, 1–47. https://doi.org/10.1007/s10708-005-2395-x",,,1865.0,exact,,,False,,False,,False,,False,,,,False,,False,False,['Unknown'],1,['Unknown'],1
19,1869,1869,,,Unknown,Kichik Kumden,Ephemeral,,G077662E35097N,35.128,77.763,4613,,,,,Ice dammed,Y,Y,14_2,9,India,Jammu and Kashmir,Shyok,Surging glacier,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Hedin, 1917; Bazai et al., 2021)","Hedin, S., 1917. Southern Tibet. Stockholm; Bazai, N.A., Cui, P., Carling, P.A., Wang, H., Hassan, J., Liu, D., Zhang, G., Jin, W., 2021. Increasing glacial lake outburst flood hazard in response to surge glaciers in the Karakoram. Earth-Science Reviews 212, 103432. https://doi.org/10.1016/j.earscirev.2020.103432",,,1869.0,exact,,,False,,False,,False,,False,,,,False,,True,False,['Unknown'],1,['Unknown'],1
20,1871,1871,11.0,,Unknown,Aktash,Ephemeral,,G077667E35058N,35.102,77.774,4581,,,,,Ice dammed,Y,Y,14_2,9,India,Jammu and Kashmir,Shyok,Surging glacier,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Hewitt and Liu, 2010; Bazai et al., 2021)","Hewitt, K., Liu, J., 2010. Ice-Dammed Lakes and Outburst Floods, Karakoram Himalaya: Historical Perspectives on Emerging Threats. Physical Geography 31, 528–551. https://doi.org/10.2747/0272-3646.31.6.528; Bazai, N.A., Cui, P., Carling, P.A., Wang, H., Hassan, J., Liu, D., Zhang, G., Jin, W., 2021. Increasing glacial lake outburst flood hazard in response to surge glaciers in the Karakoram. Earth-Science Reviews 212, 103432. https://doi.org/10.1016/j.earscirev.2020.103432",,"Forsyth reported that two glaciers, c. 1871, suddenly descended into the valley and blocked the flow of Shyok river and generated a flood in the Indus",1871.0,exact,,,False,,False,,False,,False,,,,False,,True,False,['Unknown'],1,['Unknown'],1
21,1873,1873,,,Unknown,Batura,Ephemeral,,G074581E36501N,36.510556,74.850591,2713,36.463266,74.901306,2450.0,Observation,Supraglacial,N,Y,14_2,9,Pakistan,Gilgit - Baltistan,Hunza,Unknown,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Kreutzmann, 1994)","Kreutzmann, H., 1994. Habitat conditions and settlement processes in the Hindukush Karakoram. Petermanns Geographische Mitteilungen 138, 337–356",,"Batura glacier advanced between 1873-1874. The glacier advanced rapidly and block the Hunza river, formed ice dam lake, with sudden outburst create and major damages downstream, especially at Pasu village.",1873.0,exact,,,False,,False,,False,,False,,,,False,,True,False,['Unknown'],1,['Unknown'],1
22,1877,1877,,,Unnamed,Aksay,Not mapped,,G074556E42520N,42.528,74.5405,3637,42.58,74.481,2015.0,Deposit,Moraine dammed,N,Y,13_3,4,Kyrgyzstan,Chuy,Ala Archa,Unknown,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Erokhin et al., 2018)","Erokhin, S.A., Zaginaev, V.V., Meleshko, A.A., Ruiz-Villanueva, V., Petrakov, D.A., Chernomorets, S.S., Viskhadzhieva, K.S., Tutubalina, O.V., Stoffel, M., 2018. Debris flows triggered from non-stationary glacier lake outbursts: the case of the Teztor Lake complex (Northern Tian Shan, Kyrgyzstan). Landslides 15, 83–98. https://doi.org/10.1007/s10346-017-0862-3",,,1877.0,exact,,,False,,False,,False,,False,,,,False,,True,False,['Unknown'],1,['Unknown'],1
23,1879,1879,8.0,,Unknown,Chong Kumden,Ephemeral,,G077657E35156N,35.172,77.702,4691,33.773033,72.23978,260.0,Observation,Ice dammed,Y,Y,14_2,9,India,Jammu and Kashmir,Shyok,Surging glacier,Unknown,Unknown,,,21000.0,,estimated discharge from observed rise at Attock,,,,,,,,,,,,,,,,,,,,,,,"(Mason, 1935; Bazai et al., 2021)","Mason, K., 1935. The Study of Threatening Glaciers. The Geographical Journal 85, 24–35. https://doi.org/10.2307/1787033; Bazai, N.A., Cui, P., Carling, P.A., Wang, H., Hassan, J., Liu, D., Zhang, G., Jin, W., 2021. Increasing glacial lake outburst flood hazard in response to surge glaciers in the Karakoram. Earth-Science Reviews 212, 103432. https://doi.org/10.1016/j.earscirev.2020.103432",,"Mason (1935) says rise of 28.7 ft. at Attock, Aug, 11-20. Not on Official Stage Record, (O.S.R.) for Attock",1879.0,exact,,,False,,False,,False,,False,,,,False,,True,False,['Unknown'],1,['Unknown'],1
24,1880,1880,9.0,,Kyagar,Kyagar,GL077181E35675N,"2, 3, 4",G077158E35562N,35.677371,77.190788,4880,37.982034,76.877846,1450.0,Observation,Ice dammed,N,Y,14_2,9,China,Xinjiang,Yarkant,Surging glacier,Unknown,Unknown,,,9140.0,,,,,,,,,,,,,,,,,,,,,,,,,"(Zhang et al., 1990; Zhang, 1992)","Zhang, X., Li, N., You, X., Wang, W., 1990. The Researches of Glacier Lake Outburst Floods of the Yarkant River in Xinjiang. Science in China Series B-Chemistry, Life Sciences & Earth Sciences 33 (8), 1014–1024; Zhang, X., 1992. Investigation of glacier bursts of the Yarkant River in Xinjiang, China. Annals of Glaciology 16, 135–139. https://doi.org/10.3189/1992AoG16-1-135-139",,"Unclear which of the glaciers in upper Shaksgam caused the flood, coordinates given are for Kyagar. Peak discharge measured at Kaqun",1880.0,exact,,,False,,False,,False,,False,,,,False,,False,False,['Unknown'],1,['Unknown'],1
25,1882,1882,,,Unknown,Kuturgansuu,Ephemeral,,G074608E42515N,42.522,74.609,3470,42.535,74.658,2170.0,Deposit,Moraine dammed,N,Y,13_3,4,Kyrgyzstan,Chuy,Alamedin,Unknown,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Zaginaev et al., 2019)","Zaginaev, V., Petrakov, D., Erokhin, S., Meleshko, A., Stoffel, M., Ballesteros-Cánovas, J.A., 2019. Geomorphic control on regional glacier lake outburst flood and debris flow activity over northern Tien Shan. Global and Planetary Change 176, 50–59. https://doi.org/10.1016/j.gloplacha.2019.03.003",,,1882.0,exact,,,False,,False,,False,,False,,,,False,,True,False,['Unknown'],1,['Unknown'],1
26,1882,1882,7.0,,Unknown,Chong Kumden,Ephemeral,,G077657E35156N,35.172,77.702,4691,33.773033,72.23978,260.0,Observation,Ice dammed,Y,Y,14_2,9,India,Jammu and Kashmir,Shyok,Surging glacier,Unknown,Unknown,,,21300.0,,estimated discharge from observed rise at Attock,,,,,,,,,,,,,,,,,,,,,,,"(Mason, 1935; Bazai et al., 2021)","Mason, K., 1935. The Study of Threatening Glaciers. The Geographical Journal 85, 24–35. https://doi.org/10.2307/1787033; Bazai, N.A., Cui, P., Carling, P.A., Wang, H., Hassan, J., Liu, D., Zhang, G., Jin, W., 2021. Increasing glacial lake outburst flood hazard in response to surge glaciers in the Karakoram. Earth-Science Reviews 212, 103432. https://doi.org/10.1016/j.earscirev.2020.103432",,"Mason (1935) says rise 33,8 ft, on 29th July, 'Higher than 1929 flood by 5 ft."" (This gives 752.000 cfs on modern rating curve.) Rise of 27.5 ft. appears on O.S.R. as 739,000 cfs.",1882.0,exact,,,False,,False,,False,,False,,,,False,,True,False,['Unknown'],1,['Unknown'],1
27,1882,1882,9.0,,Khurdopin,Khurdopin,Ephemeral,,G075438E36192N,36.344239,75.474953,3482,,,,,Ice dammed,N,Y,14_2,9,Pakistan,Gilgit - Baltistan,Hunza,Surging glacier,Unknown,Subglacial tunnel,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Kreutzmann, 1994; Bazai et al., 2021)","Kreutzmann, H., 1994. Habitat conditions and settlement processes in the Hindukush Karakoram. Petermanns Geographische Mitteilungen 138, 337–356; Bazai, N.A., Cui, P., Carling, P.A., Wang, H., Hassan, J., Liu, D., Zhang, G., Jin, W., 2021. Increasing glacial lake outburst flood hazard in response to surge glaciers in the Karakoram. Earth-Science Reviews 212, 103432. https://doi.org/10.1016/j.earscirev.2020.103432;",,,1882.0,exact,,,False,,False,,False,,False,,,,False,,False,False,['Unknown'],1,['Subglacial tunnel'],1
28,1884,1884,,,Khurdopin,Khurdopin,Ephemeral,,G075438E36192N,36.344239,75.474953,3482,36.308712,74.662465,2077.0,Observation,Ice dammed,N,Y,14_2,9,Pakistan,Gilgit - Baltistan,Hunza,Surging glacier,Unknown,Subglacial tunnel,,,,,,,,,,,,,,,,,,,,,,,Damage to lands at Altit and Ganesh,,,,,"(Todd, 1930; Bazai et al., 2021)","Todd, H.J., 1930. Correspondence: Gilgit and Hunza River Floods. Himalayan Journal 2; Bazai, N.A., Cui, P., Carling, P.A., Wang, H., Hassan, J., Liu, D., Zhang, G., Jin, W., 2021. Increasing glacial lake outburst flood hazard in response to surge glaciers in the Karakoram. Earth-Science Reviews 212, 103432. https://doi.org/10.1016/j.earscirev.2020.103432",,Rise of 10 ft. by Aug 9-lOth. on O.S.R. Considerable devastation at Ganesh and Altit in Hunza Valley,1884.0,exact,,,False,,False,,False,,False,,,,False,,False,False,['Unknown'],1,['Subglacial tunnel'],1
29,1885,1885,,,Unnamed,Aksay,Not mapped,,G074556E42520N,42.528,74.5405,3637,42.552627,74.483331,2255.0,Deposit,Moraine dammed,N,Y,13_3,4,Kyrgyzstan,Chuy,Ala Archa,Unknown,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Zaginaev et al., 2019)","Zaginaev, V., Petrakov, D., Erokhin, S., Meleshko, A., Stoffel, M., Ballesteros-Cánovas, J.A., 2019. Geomorphic control on regional glacier lake outburst flood and debris flow activity over northern Tien Shan. Global and Planetary Change 176, 50–59. https://doi.org/10.1016/j.gloplacha.2019.03.003",,,1885.0,exact,,,False,,False,,False,,False,,,,False,,True,False,['Unknown'],1,['Unknown'],1
30,1890,1890,,,Unknown,Diran,Not mapped,,G074626E36081N,36.069195,74.620675,3986,36.037814,74.601833,2735.0,Observation,Unknown,N,N,14_2,9,Pakistan,Gilgit - Baltistan,Gilgit,Unknown,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(This study; Ashraf et al., 2015)","Ashraf, A., Naz, R., Mustafa, N., Iqbal, M.B., Ahmad, B., Jawad, A., Ahmad. I., 2015. Updating GLOF Lake Inventory of Northern Pakistan and Establishment of Community Based Early Warning System in Bagrot and Bondo Gol Valleys. Technical Report. Islamabad, Pakistan: Pakistan Agricultural Research Council (PARC).",,"On 11th December 2012 a community exchange documented this event. Diran Glacier Burst caused human, livestock, wildlife, natural forest, rich agricultural lands and houses of the Biabari, Koshali het in sat area.",1890.0,exact,,,False,,False,,False,,False,,,,False,,True,False,['Unknown'],1,['Unknown'],1
31,1890,1890,,,Khurdopin,Khurdopin,Ephemeral,,G075438E36192N,36.344239,75.474953,3482,,,,,Ice dammed,N,Y,14_2,9,Pakistan,Gilgit - Baltistan,Hunza,Surging glacier,Unknown,Subglacial tunnel,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Hewitt, 2014; Bazai et al., 2021)","Hewitt, K., 2014. Glaciers of the Karakoram Himalaya, Advances in Asian Human-Environmental Research. Springer Netherlands, Dordrecht; Bazai, N.A., Cui, P., Carling, P.A., Wang, H., Hassan, J., Liu, D., Zhang, G., Jin, W., 2021. Increasing glacial lake outburst flood hazard in response to surge glaciers in the Karakoram. Earth-Science Reviews 212, 103432. https://doi.org/10.1016/j.earscirev.2020.103432",,,1890.0,exact,,,False,,False,,False,,False,,,,False,,False,False,['Unknown'],1,['Subglacial tunnel'],1
